Entity,Code,Year,Annual CO₂ emissions (per capita),Population,Continent,Total CO2,Numeric Code
Turkey,TUR,2019,4.8237195,85357671,Asia,411741462.0772845,792
Turkmenistan,TKM,2019,10.607364,6803942,Asia,72171889.42888801,795
Turks and Caicos Islands,TCA,2019,8.415367,43190,North America,363459.70073,796
Tuvalu,TUV,2019,1.0008194,10603,Oceania,10611.688098199998,798
Uganda,UGA,2019,0.13345863,42999636,Africa,5738672.51105868,800
Ukraine,UKR,2019,5.020078,44957450,Europe,225689905.68109998,804
United Arab Emirates,ARE,2019,23.834637,9377855,Asia,223517769.763635,784
United Kingdom,GBR,2019,5.4621234,67110958,Europe,366568334.0882172,826
United States,USA,2019,15.739861,337790068,North America,5316768717.500547,840
Uruguay,URY,2019,1.8929877,3397205,South America,6430867.2793785,858
Uzbekistan,UZB,2019,3.2880268,32964702,Asia,108388823.6300136,860
Vanuatu,VUT,2019,0.5416308,291994,Oceania,158152.94381519998,548
Venezuela,VEN,2019,3.024043,28938095,South America,87510043.618085,862
Vietnam,VNM,2019,3.5686002,97173778,Asia,346774363.6055556,704
Wallis and Futuna,WLF,2019,2.1855986,11711,Oceania,25595.5452046,876
Yemen,YEM,2019,0.37522772,35111417,Asia,13174776.94687924,887
Zambia,ZMB,2019,0.421688,18513841,Africa,7807064.583608001,894
Zimbabwe,ZWE,2019,0.63664466,15271377,Africa,9722440.61789682,716
