"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"ITDA","Trentino-Alto Adige/Südtirol","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",1082702,,
"ITD3","Veneto","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",4884590,,
"ITD3","Veneto","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",4879133,,
"ITD3","Veneto","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",4869830,,
"ITD3","Veneto","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",4847745,,
"ITD3","Veneto","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",4849553,,
"ITD3","Veneto","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",4852216,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",1210414,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",1206216,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1201510,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",1194647,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",1194248,,
"ITD4","Friuli-Venezia Giulia","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",1194616,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",4459453,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",4464119,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",4438937,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",4425366,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",4437578,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",4451938,,
"ITE1","Toscana","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",3701343,,
"ITE1","Toscana","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",3692555,,
"ITE1","Toscana","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",3692865,,
"ITE1","Toscana","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",3663191,,
"ITE1","Toscana","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",3661981,,
"ITE1","Toscana","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",3660530,,
"ITE2","Umbria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",873744,,
"ITE2","Umbria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",870165,,
"ITE2","Umbria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",865452,,
"ITE2","Umbria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",858812,,
"ITE2","Umbria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",856407,,
"ITE2","Umbria","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",853068,,
"ITE3","Marche","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",1520321,,
"ITE3","Marche","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",1512672,,
"ITE3","Marche","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1498236,,
"ITE3","Marche","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",1487150,,
"ITE3","Marche","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",1484298,,
"ITE3","Marche","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",1482746,,
"ITE4","Lazio","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",5773076,,
"ITE4","Lazio","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",5755700,,
"ITE4","Lazio","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",5730399,,
"ITE4","Lazio","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",5714882,,
"ITE4","Lazio","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",5720536,,
"ITE4","Lazio","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",5714745,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",1300645,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",1293941,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",1281012,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",1275950,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",1272627,,
"ITF1","Abruzzo","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",1269571,,
"ITF2","Molise","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",303790,,
"ITF2","Molise","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",300516,,
"ITF2","Molise","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",294294,,
"ITF2","Molise","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",292150,,
"ITF2","Molise","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",290636,,
"ITF2","Molise","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",289224,,
"ITF3","Campania","JAN","population on 1st January","9","total","TOTAL","total","99","total","2019","2019",5740291,,
"ITF3","Campania","JAN","population on 1st January","9","total","TOTAL","total","99","total","2020","2020",5712143,,
"ITF3","Campania","JAN","population on 1st January","9","total","TOTAL","total","99","total","2021","2021",5624260,,
"ITF3","Campania","JAN","population on 1st January","9","total","TOTAL","total","99","total","2022","2022",5624420,,
"ITF3","Campania","JAN","population on 1st January","9","total","TOTAL","total","99","total","2023","2023",5609536,,
"ITF3","Campania","JAN","population on 1st January","9","total","TOTAL","total","99","total","2024","2024",5593906,,
