country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Grenada,2022,GRD,125459.0,,0.0,0.0,0.34,0.011,3.206,0.254,0.014,5.705,2.027,,,2.713,,,0.0,0.0,,,,0.0,8.925,5.438,0.0,0.0,0.0,-1.674,8.925,,,,0.0,0.0,0.0,0.0,,,-0.086,-0.686,,,,,0.34,2.713,,,,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.0,0.001,,0.0,0.0,-0.002,0.003,,0.0,0.0,0.0,0.0,0.0,,,,
Guatemala,2022,GTM,17843914.0,146224644096.0,1.31,0.073,19.193,-0.49,-2.488,43.669,0.207,0.477,2.447,0.299,,1.076,0.131,,2.427,0.136,,,,36.851,479.889,3600.172,50.656,0.926,0.44,3895.294,391.017,,,,0.098,0.005,0.0,0.0,,,24.476,1.372,,,,,15.358,0.861,,,,0.082,0.052,0.105,0.016,0.079,0.027,0.14,0.006,0.005,0.0,0.486,0.063,,0.025,0.0,0.568,0.129,,0.16,0.001,0.002,0.003,0.0,,,,
Guinea,2022,GIN,13859349.0,23678257152.0,0.0,0.0,4.954,0.086,1.775,13.119,-0.64,-4.65,0.947,0.554,,0.357,0.209,,0.0,0.0,,,,0.0,98.209,4641.524,0.217,0.0,0.0,4543.315,97.992,,,,0.0,0.0,0.0,0.0,,,8.166,0.589,,,,,4.954,0.357,,,,0.0,0.013,0.032,0.0,0.0,0.006,0.181,0.0,0.0,0.0,0.566,0.016,,0.0,0.0,0.189,0.042,,0.126,0.001,0.001,0.002,0.0,,,,
Guinea-Bissau,2022,GNB,2105580.0,3259313920.0,0.0,0.0,0.327,0.006,1.775,0.534,-0.016,-2.938,0.254,0.164,,0.155,0.1,,0.0,0.0,,,,0.0,10.782,202.264,0.0,0.0,0.0,331.437,10.782,,,,0.0,0.0,0.0,0.0,,,0.208,0.099,,,,,0.327,0.155,,,,0.0,0.001,0.001,0.0,0.0,0.001,0.008,0.0,0.0,0.0,0.041,0.002,,0.0,0.0,0.005,0.003,,0.012,0.0,0.0,0.0,0.0,,,,
Guyana,2022,GUY,808727.0,,0.158,0.195,3.537,-0.027,-0.751,10.063,0.088,0.878,12.442,,,4.374,,,0.007,0.009,,,,1.152,108.995,812.223,0.143,1.082,0.0,1086.64,106.618,,,,0.307,0.379,0.0,0.0,,,6.525,8.069,,,,,3.065,3.79,,,,0.01,0.01,0.024,0.0,0.002,0.006,0.032,0.0,0.006,0.0,0.135,0.017,,0.077,0.0,0.151,0.026,,0.038,0.0,0.001,0.001,0.0,,,,
Haiti,2022,HTI,11585003.0,17550917632.0,0.116,0.01,2.447,0.021,0.877,3.874,0.278,7.738,0.334,0.221,,0.211,0.139,,0.0,0.0,,,,4.678,80.557,381.564,0.945,0.0,0.0,756.377,74.933,,,,0.0,0.0,0.0,0.0,,,1.427,0.123,,,,,2.33,0.201,,,,0.007,0.007,0.009,0.0,0.01,0.005,0.015,0.0,0.0,0.0,0.094,0.012,,0.0,0.0,0.033,0.02,,0.047,0.0,0.0,0.001,0.0,,,,
High-income countries,2022,,1224121770.0,,226.312,0.182,12614.069,-45.13,-0.356,12491.451,-23.812,-0.19,10.034,0.22,0.19,10.133,0.222,0.192,2746.493,2.206,,,,14789.456,1001743.125,1203104.5,455147.375,7105.48,158489.109,223699.109,362489.656,3722.077,53753.582,,129.283,0.104,4056.293,3.258,,,198.425,0.159,,,,,5365.567,4.31,0.072,90.12,65800.93,14.096,33.955,30.129,18.046,31.708,56.504,46.808,55.562,36.673,60.544,27.893,58.854,37.251,32.528,52.35,4.604,45.173,29.921,39.884,0.098,0.523,0.652,0.032,,,,
Honduras,2022,HND,10432858.0,49738256384.0,0.702,0.067,11.16,0.325,2.998,35.196,1.201,3.532,3.374,0.708,,1.07,0.224,,0.0,0.0,,,,21.658,282.799,2150.063,5.412,0.0,0.0,3371.479,255.729,,,,0.0,0.0,0.0,0.0,,,24.036,2.304,,,,,10.458,1.002,,,,0.044,0.03,0.085,0.0,0.046,0.016,0.084,0.001,0.0,0.0,0.42,0.042,,0.0,0.0,0.558,0.088,,0.1,0.0,0.001,0.002,0.0,,,,
Hong Kong,2022,HKG,7488863.0,356690493440.0,0.572,0.076,30.569,-2.207,-6.733,,,,,,,4.082,0.086,0.141,13.336,1.781,,,,33.421,1685.727,,805.011,0.0,144.705,,702.59,,29038.205,0.61,0.0,0.0,8.383,1.119,,,,,,,,,8.278,1.105,,,217.463,0.036,0.082,,0.088,0.072,0.095,,0.098,0.0,0.055,,0.114,,0.0,0.108,,0.07,,0.062,0.0,0.001,0.001,0.0,,,,
Hungary,2022,HUN,9967304.0,285385228288.0,1.002,0.1,44.354,-4.21,-8.669,38.447,-3.832,-9.064,3.857,0.135,0.144,4.45,0.155,0.166,4.975,0.499,,,,90.984,5106.258,5725.989,2622.715,12.993,1057.721,637.723,1297.954,23.892,26789.283,0.936,0.138,0.014,18.963,1.902,,,-5.907,-0.593,,,,,18.834,1.89,0.044,0.442,267.017,0.062,0.119,0.093,0.033,0.195,0.288,0.223,0.32,0.067,0.404,0.08,0.211,0.239,0.035,0.245,-0.137,0.159,0.147,0.184,0.0,0.002,0.003,0.0,,,,
Iceland,2022,ISL,372903.0,16019539968.0,,,3.543,0.032,0.925,3.867,0.046,1.214,10.371,0.241,0.061,9.5,0.221,0.056,0.733,1.966,,,,,164.379,267.225,23.893,4.436,0.012,207.064,133.121,0.167,170914.562,3.979,0.177,0.476,0.001,0.004,,,0.325,0.872,,,,,2.622,7.03,0.023,0.009,63.735,,0.01,0.009,0.005,,0.009,0.01,0.003,0.023,0.0,0.026,0.022,0.002,0.045,0.0,0.008,0.022,0.003,0.011,0.0,0.0,0.0,0.0,,,,
India,2022,IND,1417173120.0,10476248367104.0,164.323,0.116,2829.644,155.422,5.812,2864.052,138.349,5.076,2.021,0.273,0.283,1.997,0.27,0.28,1854.258,1.308,,,,2788.681,59740.699,99420.656,38570.355,172.389,2702.185,42374.418,15507.09,,7129.11,0.964,2.924,0.002,124.009,0.088,,,34.408,0.024,,,,,684.131,0.483,,,10103.183,10.235,7.617,6.908,12.184,5.979,3.37,3.868,4.708,0.89,1.032,5.284,2.518,,0.736,1.6,0.798,5.76,,4.777,0.034,0.037,0.078,0.006,,,,
Indonesia,2022,IDN,275501344.0,3500093472768.0,26.843,0.097,728.883,112.96,18.34,1647.497,143.017,9.506,5.98,0.471,0.59,2.646,0.208,0.261,404.573,1.468,,,,710.29,15712.113,93799.75,4444.421,422.922,2607.697,89651.961,7526.783,,10132.153,0.798,3.163,0.011,80.013,0.29,,,918.613,3.334,,,,,214.292,0.778,,,2791.422,1.672,1.962,3.974,2.658,1.523,0.886,3.649,0.543,2.183,0.996,11.179,1.222,,0.796,1.033,21.314,1.804,,3.65,0.014,0.044,0.06,0.001,,,,
International aviation,2022,,,,0.0,,424.854,133.408,45.774,,,,,,,,,,0.0,,,,,0.0,15636.514,,0.0,0.0,0.0,,15636.514,0.0,,,0.0,,0.0,,,,,,,,,,424.854,,,0.0,,0.0,1.144,,0.0,0.0,0.882,,0.0,0.0,0.0,,2.539,0.0,0.0,0.0,,3.577,0.0,,,,,,,,,
International shipping,2022,,,,0.0,,624.488,7.921,1.285,,,,,,,,,,0.0,,,,,0.0,28263.057,,180.888,0.0,3.675,,28078.496,0.0,,,0.0,,0.787,,,,,,,,,,623.701,,,0.0,,0.0,1.681,,0.0,0.0,1.594,,0.022,0.0,0.001,,4.559,0.0,0.0,0.01,,5.251,0.0,,,,,,,,,
International transport,2022,,,,,,,,,,,,,,,,,,,,1049.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Iran,2022,IRN,88550568.0,1572209033216.0,21.654,0.245,690.635,2.559,0.372,677.454,2.608,0.386,7.65,0.431,0.195,7.799,0.439,0.199,3.723,0.042,,,,560.608,19852.746,21298.383,217.368,1660.323,7836.876,2242.595,9577.571,,39151.336,2.205,32.375,0.366,405.62,4.581,,,-13.181,-0.149,,,,,227.263,2.566,,,3466.873,1.349,1.859,1.634,0.024,1.202,1.12,0.829,0.027,8.569,2.994,0.28,1.555,,8.146,5.235,-0.306,1.913,,1.133,0.008,0.009,0.019,0.001,,,,
Iraq,2022,IRQ,44496124.0,527639314432.0,10.129,0.228,179.081,10.494,6.225,190.6,10.806,6.01,4.284,0.361,0.287,4.025,0.339,0.27,0.0,0.0,,,,164.237,4811.897,5379.746,0.191,878.832,465.855,725.168,3302.783,,14914.604,1.258,33.657,0.756,34.301,0.771,,,11.519,0.259,,,,,100.994,2.27,,,663.642,0.631,0.482,0.46,0.0,0.352,0.271,0.209,0.0,4.536,0.178,0.09,0.536,,8.468,0.443,0.267,0.85,,0.462,0.005,0.002,0.008,0.0,,,,
Ireland,2022,IRL,5023108.0,308390920192.0,2.103,0.419,38.784,1.237,3.294,76.318,-0.653,-0.848,15.193,0.247,0.41,7.721,0.126,0.209,3.942,0.785,,,,75.92,2302.11,2604.013,886.57,0.103,315.372,395.576,1005.415,18.729,37022.301,0.603,0.0,0.0,10.655,2.121,,,37.534,7.472,,,,,21.333,4.247,0.15,0.752,185.967,0.131,0.104,0.184,0.026,0.163,0.13,0.101,0.108,0.001,0.12,0.049,0.163,0.187,0.0,0.138,0.871,0.18,0.25,0.058,-0.001,0.001,0.001,0.0,,,,
Israel,2022,ISR,9038313.0,336722558976.0,1.728,0.191,56.118,1.269,2.314,58.121,1.328,2.338,6.431,0.173,0.188,6.209,0.167,0.182,15.197,1.681,,,,87.705,2485.48,2532.542,816.659,0.026,219.721,47.048,1361.369,,34148.941,0.917,0.018,0.002,18.712,2.07,,,2.003,0.222,,,,,20.464,2.264,,,308.649,0.108,0.151,0.14,0.1,0.188,0.14,0.099,0.1,0.0,0.084,0.006,0.221,,0.004,0.241,0.046,0.172,,0.105,0.001,0.001,0.002,0.0,,,,
Italy,2022,ITA,59037472.0,2136009342976.0,7.919,0.134,338.097,0.867,0.257,298.672,1.226,0.412,5.059,0.14,0.174,5.727,0.158,0.197,33.003,0.559,,,,957.895,25416.447,24963.582,4766.84,97.434,5645.961,-179.19,13801.716,146.602,29104.418,0.804,1.816,0.031,136.923,2.319,,,-39.425,-0.668,,,,,155.163,2.628,0.055,3.275,1718.251,0.493,0.91,0.72,0.217,2.054,1.434,0.971,0.582,0.503,2.157,-0.022,2.241,1.467,0.457,1.767,-0.915,1.306,1.087,0.882,0.002,0.011,0.014,0.001,,,,
Jamaica,2022,JAM,2827382.0,20019224576.0,0.393,0.139,6.488,-0.121,-1.828,6.335,-0.186,-2.847,2.241,0.316,,2.295,0.324,,0.27,0.096,,,,15.273,464.814,649.3,6.615,0.0,5.203,393.631,437.723,,,,0.0,0.0,1.441,0.51,,,-0.152,-0.054,,,,,4.383,1.55,,,,0.024,0.017,0.015,0.002,0.033,0.026,0.025,0.001,0.0,0.002,0.049,0.071,,0.0,0.019,-0.004,0.037,,0.025,0.0,0.0,0.0,0.0,,,,
Japan,2022,JPN,123951696.0,4774494732288.0,23.157,0.187,1053.798,-8.331,-0.784,1058.027,-7.027,-0.66,8.536,0.222,0.211,8.502,0.221,0.211,427.213,3.447,,,,2029.133,67734.914,73053.773,24629.15,16.031,7209.953,5596.69,33551.543,299.103,40377.672,1.048,0.359,0.003,204.824,1.652,,,4.229,0.034,,,,,390.6,3.151,0.062,7.646,5004.881,1.442,2.837,2.552,2.807,4.35,3.821,2.842,3.007,0.083,2.754,0.698,5.447,2.993,0.09,2.643,0.098,3.288,2.538,2.117,0.002,0.032,0.035,0.001,,,,
Jordan,2022,JOR,11285875.0,99281829888.0,1.299,0.115,22.913,0.245,1.082,22.662,0.286,1.277,2.008,0.228,,2.03,0.231,,1.546,0.137,,,,55.19,741.998,797.3,9.859,0.013,103.413,76.496,573.522,,,,0.0,0.0,7.624,0.676,,,-0.25,-0.022,,,,,12.443,1.103,,,,0.081,0.062,0.055,0.01,0.118,0.042,0.031,0.001,0.0,0.04,0.01,0.093,,0.0,0.098,-0.006,0.105,,0.036,0.0,0.0,0.001,0.0,,,,
Kazakhstan,2022,KAZ,19397998.0,503634067456.0,3.841,0.198,271.178,16.035,6.285,255.273,16.183,6.769,13.16,0.507,0.312,13.98,0.538,0.331,152.702,7.872,,,,128.933,14225.905,18323.014,9541.188,363.52,1252.623,4229.377,2840.865,98.779,42235.43,1.627,11.511,0.593,37.011,1.908,,,-15.905,-0.82,,,,,61.327,3.162,0.247,4.786,819.283,0.239,0.73,0.616,1.003,0.276,0.802,0.713,1.165,1.876,0.479,0.527,0.461,0.989,2.896,0.478,-0.369,0.516,1.589,0.881,0.003,0.011,0.014,0.0,,,,
Kenya,2022,KEN,54027484.0,190362157056.0,4.861,0.09,24.852,0.394,1.612,31.525,-1.25,-3.815,0.583,0.166,,0.46,0.131,,2.543,0.047,,,,71.118,534.099,3111.776,31.236,0.0,0.0,3473.442,431.745,,,,0.0,0.0,0.0,0.0,,,6.673,0.124,,,,,17.447,0.323,,,,0.303,0.067,0.076,0.017,0.152,0.03,0.121,0.004,0.0,0.0,0.433,0.07,,0.0,0.0,0.155,0.147,,0.226,0.002,0.001,0.004,0.0,,,,
Kiribati,2022,KIR,131237.0,,0.0,0.0,0.068,-0.001,-1.128,0.068,-0.001,-1.128,0.518,,,0.518,,,0.0,0.0,,,,0.0,2.148,2.148,0.0,0.0,0.0,0.0,2.148,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.068,0.518,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
Kosovo,2022,,1659721.0,,0.191,0.115,8.018,-0.071,-0.875,,,,,,,4.831,,,5.684,3.424,,,,3.531,121.822,,89.938,0.0,0.0,,28.353,,,,0.0,0.0,0.0,0.0,,,,,,,,,2.143,1.291,,,,0.012,0.022,,0.037,0.008,0.007,,0.011,0.0,0.0,,0.005,,0.0,0.0,,0.018,,0.003,,0.0,0.0,,,,,
Kuwait,2022,KWT,4268886.0,218961231872.0,1.222,0.286,109.19,5.907,5.719,109.195,5.907,5.719,25.579,0.499,0.253,25.578,0.499,0.253,0.0,0.0,,,,32.617,3656.592,3656.49,0.0,351.68,1140.94,-1.685,2131.354,,101291.062,1.975,1.094,0.256,62.995,14.757,,,0.005,0.001,,,,,43.878,10.279,,,432.4,0.076,0.294,0.263,0.0,0.07,0.206,0.142,0.0,1.815,0.436,-0.0,0.346,,0.275,0.813,0.0,0.369,,0.202,0.002,0.002,0.003,0.0,,,,
Kuwaiti Oil Fires,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,0.0,0.0,,,,,
Kyrgyzstan,2022,KGZ,6630621.0,31703001088.0,1.171,0.177,9.45,0.016,0.169,9.586,0.087,0.913,1.446,0.302,,1.425,0.298,,3.526,0.532,,,,34.282,860.733,1237.573,418.207,5.555,87.662,386.746,315.026,,,,0.0,0.0,0.556,0.084,,,0.136,0.021,,,,,4.198,0.633,,,,0.073,0.025,0.023,0.023,0.073,0.049,0.048,0.051,0.029,0.033,0.048,0.051,,0.0,0.007,0.003,0.035,,0.059,0.0,0.001,0.001,0.0,,,,
Laos,2022,LAO,7529477.0,54953902080.0,5.5,0.73,23.193,-0.174,-0.743,69.779,-0.622,-0.884,9.268,1.27,,3.08,0.422,,14.318,1.902,,,,25.791,199.712,2622.781,110.969,0.0,0.0,3347.789,62.952,,,,0.0,0.0,0.0,0.0,,,46.586,6.187,,,,,3.376,0.448,,,,0.343,0.062,0.168,0.094,0.055,0.011,0.102,0.014,0.0,0.0,0.417,0.01,,0.0,0.0,1.081,0.028,,0.092,0.0,0.001,0.001,0.0,,,,
Latvia,2022,LVA,1850654.0,51248480256.0,0.539,0.291,6.591,-0.649,-8.964,10.582,-0.359,-3.28,5.718,0.206,0.275,3.562,0.129,0.171,0.077,0.041,,,,17.098,964.429,1854.24,152.971,1.562,161.774,957.098,628.786,2.239,20789.912,0.751,0.0,0.0,1.582,0.855,,,3.991,2.156,,,,,4.311,2.329,0.045,0.083,38.475,0.034,0.018,0.026,0.001,0.037,0.054,0.072,0.019,0.008,0.062,0.119,0.102,0.022,0.0,0.02,0.093,0.036,0.028,0.057,0.0,0.001,0.001,0.0,,,,
Least developed countries (Jones et al.),2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19,0.041,0.052,0.101,0.009,,,,
Lebanon,2022,LBN,5489744.0,48741707776.0,0.788,0.144,23.905,0.433,1.843,23.763,0.451,1.933,4.329,0.488,,4.354,0.49,,1.253,0.228,,,,70.5,775.522,783.839,17.858,0.0,0.579,16.068,686.585,,,,0.0,0.0,0.0,0.0,,,-0.141,-0.026,,,,,21.863,3.983,,,,0.049,0.064,0.057,0.008,0.151,0.044,0.03,0.002,0.0,0.0,0.002,0.111,,0.0,0.0,-0.003,0.184,,0.033,0.0,0.0,0.001,0.0,,,,
Leeward Islands,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,
Lesotho,2022,LSO,2305826.0,4761723392.0,0.0,0.0,3.135,0.654,26.372,8.409,0.392,4.883,3.647,1.766,,1.359,0.658,,2.462,1.068,,,,0.0,69.501,148.926,53.729,0.0,0.0,182.821,15.772,,,,0.0,0.0,0.0,0.0,,,5.274,2.287,,,,,0.672,0.292,,,,0.0,0.008,0.02,0.016,0.0,0.004,0.006,0.007,0.0,0.0,0.023,0.003,,0.0,0.0,0.122,0.006,,0.012,0.0,0.0,0.0,0.0,,,,
Liberia,2022,LBR,5302690.0,4231560960.0,0.207,0.039,0.877,0.012,1.35,15.622,0.24,1.563,2.946,3.692,,0.165,0.207,,0.0,0.0,,,,2.839,50.825,948.185,0.0,0.0,0.0,1840.6,47.986,,,,0.0,0.0,0.0,0.0,,,14.745,2.781,,,,,0.67,0.126,,,,0.013,0.002,0.038,0.0,0.006,0.003,0.037,0.0,0.0,0.0,0.23,0.008,,0.0,0.0,0.342,0.006,,0.041,0.0,0.001,0.001,0.0,,,,
Libya,2022,LBY,6812344.0,91444477952.0,1.589,0.233,62.961,-0.965,-1.509,62.659,-0.943,-1.482,9.198,0.685,,9.242,0.689,,0.0,0.0,,,,72.114,2349.427,2409.892,1.127,496.042,470.651,116.445,1309.492,,,,10.191,1.496,21.08,3.094,,,-0.302,-0.044,,,,,30.102,4.419,,,,0.099,0.169,0.151,0.0,0.155,0.133,0.094,0.0,2.56,0.18,0.015,0.213,,2.564,0.272,-0.007,0.253,,0.165,0.002,0.001,0.003,0.0,,,,
Liechtenstein,2022,LIE,39355.0,,0.0,0.0,0.15,0.004,2.776,0.131,0.004,3.131,3.328,,,3.81,,,0.0,0.0,,,,0.0,9.722,9.165,0.001,0.0,1.803,-0.34,7.918,0.0,,,0.0,0.0,0.054,1.374,,,-0.019,-0.481,,,,,0.096,2.436,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,-0.0,0.001,0.0,0.0,0.001,-0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Lithuania,2022,LTU,2750058.0,84814258176.0,0.633,0.23,12.667,-1.162,-8.406,11.265,-1.3,-10.345,4.096,0.133,0.173,4.606,0.149,0.195,0.739,0.269,,,,48.317,1580.612,3346.778,172.431,12.719,295.073,1857.445,1048.462,3.611,23659.957,0.767,0.218,0.079,2.799,1.018,,,-1.402,-0.51,,,,,8.199,2.981,0.029,0.079,65.066,0.039,0.034,0.027,0.005,0.104,0.089,0.13,0.021,0.066,0.113,0.232,0.17,0.036,0.055,0.036,-0.033,0.069,0.026,0.11,0.0,0.001,0.002,0.0,,,,
Low-income countries,2022,,717587377.0,,15.324,0.022,197.079,0.302,0.154,1109.455,-53.376,-4.59,1.577,1.152,,0.28,0.205,,55.265,0.079,,,,415.343,10183.37,70888.938,5009.521,220.272,357.024,78179.469,4181.21,,,,5.471,0.008,8.809,0.013,,,912.376,1.296,,,,,112.21,0.159,,,,0.954,0.53,2.676,0.363,0.89,0.574,2.758,0.612,1.137,0.136,9.748,0.679,,1.377,0.114,21.169,0.945,,3.7,0.024,0.031,0.061,0.006,,,,
Lower-middle-income countries,2022,,3447030624.0,,377.851,0.118,5672.114,70.896,1.266,6468.75,28.076,0.436,2.028,0.284,0.318,1.778,0.249,0.279,2399.562,0.752,,,,7183.128,163674.531,334204.625,64275.297,5143.535,30866.006,221200.234,56088.859,117.713,5901.293,,79.808,0.025,1109.783,0.348,,,796.637,0.25,,,,,1702.233,0.534,0.001,2.877,20341.938,23.535,15.268,15.602,15.767,15.4,9.232,13.003,7.846,26.547,11.791,27.581,9.107,1.178,20.08,14.323,18.484,14.331,0.955,17.037,0.114,0.147,0.279,0.018,,,,
Luxembourg,2022,LUX,647601.0,36128358400.0,0.351,0.541,7.524,-0.906,-10.743,7.629,-0.905,-10.602,11.78,0.211,0.197,11.618,0.208,0.194,0.249,0.384,,,,20.565,769.47,761.031,358.501,0.002,76.481,4.625,311.742,2.179,59857.266,1.073,0.0,0.0,1.246,1.925,,,0.105,0.162,,,,,5.633,8.699,0.069,0.045,38.764,0.022,0.02,0.018,0.002,0.044,0.043,0.03,0.044,0.0,0.029,0.001,0.051,0.022,0.0,0.016,0.002,0.047,0.015,0.023,0.0,0.0,0.0,0.0,,,,
Macao,2022,MAC,695180.0,,0.0,0.0,1.052,-0.017,-1.604,,,,,,,1.513,,,0.0,0.0,,,,0.0,57.443,,0.271,0.0,2.09,,55.082,,,,0.0,0.0,0.129,0.186,,,,,,,,,0.922,1.327,,,,0.0,0.003,,0.0,0.0,0.003,,0.0,0.0,0.001,,0.009,,0.0,0.002,,0.008,,0.002,0.0,0.0,0.0,0.0,,,,
Madagascar,2022,MDG,29611718.0,38602186752.0,0.058,0.002,4.404,0.137,3.209,27.28,-0.719,-2.567,0.921,0.707,,0.149,0.114,,1.603,0.054,,,,2.325,105.249,5799.631,16.462,0.0,0.0,8809.021,86.462,,,,0.0,0.0,0.0,0.0,,,22.876,0.773,,,,,2.742,0.093,,,,0.004,0.012,0.066,0.011,0.005,0.006,0.226,0.002,0.0,0.0,1.098,0.014,,0.0,0.0,0.531,0.023,,0.262,0.001,0.003,0.004,0.0,,,,
Malawi,2022,MWI,20405318.0,26465351680.0,0.31,0.015,2.094,0.016,0.753,5.67,-0.231,-3.911,0.278,0.214,,0.103,0.079,,0.256,0.013,,,,3.584,54.693,1213.978,12.769,0.0,0.0,1714.671,38.339,,,,0.0,0.0,0.0,0.0,,,3.576,0.175,,,,,1.528,0.075,,,,0.019,0.006,0.014,0.002,0.008,0.003,0.047,0.002,0.0,0.0,0.214,0.006,,0.0,0.0,0.083,0.013,,0.063,0.0,0.001,0.001,0.0,,,,
Malaysia,2022,MYS,33938216.0,877584187392.0,11.247,0.331,291.071,12.21,4.379,461.066,8.089,1.786,13.585,0.525,0.346,8.577,0.332,0.219,74.265,2.188,,,,267.009,6489.359,20171.693,1264.486,175.804,1934.411,14749.973,2847.65,,39226.555,1.517,3.026,0.089,93.243,2.747,,,169.995,5.009,,,,,109.291,3.22,,,1331.279,0.701,0.784,1.112,0.488,0.572,0.366,0.785,0.154,0.907,0.739,1.839,0.462,,0.761,1.203,3.944,0.92,,0.667,0.002,0.008,0.011,0.0,,,,
Maldives,2022,MDV,523798.0,,0.0,0.0,1.701,-0.019,-1.127,1.701,-0.019,-1.127,3.248,,,3.248,,,0.0,0.0,,,,0.0,28.296,28.304,0.0,0.0,0.0,0.017,28.296,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,1.701,3.248,,,,0.0,0.005,0.004,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.005,,0.0,0.0,0.0,0.014,,0.001,0.0,0.0,0.0,0.0,,,,
Mali,2022,MLI,22593598.0,30551085056.0,0.697,0.031,7.039,0.111,1.596,9.302,-0.127,-1.344,0.412,0.304,,0.312,0.23,,0.0,0.0,,,,4.526,85.783,1345.813,0.0,0.0,0.0,1664.601,81.257,,,,0.0,0.0,0.0,0.0,,,2.263,0.1,,,,,6.341,0.281,,,,0.043,0.019,0.022,0.0,0.01,0.005,0.052,0.0,0.0,0.0,0.208,0.013,,0.0,0.0,0.053,0.053,,0.091,0.001,0.0,0.001,0.0,,,,
Malta,2022,MLT,533293.0,18295134208.0,0.0,0.0,1.655,0.048,3.012,1.639,0.05,3.136,3.073,0.09,,3.104,0.09,,0.0,0.0,,,,0.0,107.32,102.5,6.408,0.0,4.166,-4.988,96.721,0.025,,,0.0,0.0,0.749,1.404,,,-0.016,-0.031,,,,,0.906,1.699,0.0,0.0,,0.0,0.004,0.004,0.0,0.0,0.006,0.004,0.001,0.0,0.002,-0.001,0.016,0.0,0.0,0.01,-0.0,0.008,0.0,0.003,0.0,0.0,0.0,0.0,,,,
Marshall Islands,2022,MHL,41593.0,,0.0,0.0,0.151,-0.002,-1.128,0.151,-0.002,-1.128,3.635,,,3.635,,,0.0,0.0,,,,0.0,3.712,3.712,0.0,0.0,0.0,0.0,3.712,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.151,3.635,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
Mauritania,2022,MRT,4736146.0,15674545152.0,0.0,0.0,4.534,0.079,1.775,4.613,0.118,2.627,0.974,0.294,,0.957,0.289,,0.0,0.0,,,,0.0,86.381,141.157,0.436,1.008,0.0,54.776,84.936,,,,0.0,0.0,0.0,0.0,,,0.079,0.017,,,,,4.534,0.957,,,,0.0,0.012,0.011,0.0,0.0,0.005,0.005,0.0,0.005,0.0,0.007,0.014,,0.0,0.0,0.002,0.038,,0.023,0.0,-0.0,0.0,0.0,,,,
