country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Bahrain,2022,BHR,1472237.0,58769760256.0,0.213,0.145,37.796,-0.327,-0.857,37.796,-0.327,-0.857,25.672,0.643,,25.672,0.643,,0.0,0.0,,,,6.941,1011.341,1011.348,0.154,2.194,778.101,0.008,223.952,,,,0.177,0.12,33.613,22.831,,,0.0,0.0,,,,,3.793,2.577,,,,0.013,0.102,0.091,0.0,0.015,0.057,0.039,0.0,0.011,0.297,0.0,0.036,,0.044,0.434,0.0,0.032,,0.095,0.001,0.0,0.002,0.0,,,,
Bangladesh,2022,BGD,171186368.0,858143916032.0,1.514,0.009,102.103,3.343,3.385,110.903,3.5,3.259,0.648,0.129,0.214,0.596,0.119,0.197,8.223,0.048,,,,25.276,1769.944,3253.122,130.21,0.321,1089.06,3373.787,525.077,,3025.794,0.604,0.039,0.0,58.328,0.341,,,8.799,0.051,,,,,34.0,0.199,,,517.975,0.094,0.275,0.267,0.054,0.054,0.1,0.127,0.016,0.002,0.416,0.421,0.085,,0.01,0.753,0.204,0.286,,0.415,0.004,0.002,0.007,0.001,,,,
Barbados,2022,BRB,281646.0,3408005888.0,0.106,0.376,1.233,0.006,0.525,1.041,-0.003,-0.285,3.697,0.306,,4.377,0.362,,0.0,0.0,,,,3.954,70.08,69.865,0.055,0.231,1.79,3.2,64.051,,,,0.011,0.039,0.033,0.116,,,-0.192,-0.68,,,,,1.083,3.846,,,,0.007,0.003,0.003,0.0,0.008,0.004,0.003,0.0,0.001,0.001,0.0,0.01,,0.003,0.0,-0.004,0.009,,0.003,0.0,0.0,0.0,0.0,,,,
Belarus,2022,BLR,9534956.0,175773810688.0,2.239,0.235,58.801,-2.137,-3.507,61.928,-2.096,-3.274,6.495,0.352,0.21,6.167,0.335,0.2,3.863,0.405,,,,85.332,5071.251,10061.206,548.12,10.148,1374.82,5228.061,2998.115,54.716,30868.787,1.674,0.006,0.001,35.107,3.682,,,3.127,0.328,,,,,16.635,1.745,0.1,0.951,294.333,0.139,0.158,0.149,0.025,0.183,0.286,0.391,0.067,0.052,0.525,0.652,0.487,0.548,0.002,0.453,0.073,0.14,0.316,0.351,0.001,0.004,0.006,0.001,,,,
Belgium,2022,BEL,11655923.0,489678405632.0,2.659,0.228,89.605,-6.063,-6.337,92.952,-5.933,-6.0,7.975,0.19,0.134,7.688,0.183,0.129,12.772,1.096,,,,225.921,12734.939,12974.864,7547.833,3.425,1402.599,381.088,3477.629,77.533,59582.27,1.418,0.099,0.008,31.649,2.715,,,3.346,0.287,,,,,40.705,3.492,0.148,1.721,694.486,0.166,0.241,0.224,0.084,0.484,0.718,0.505,0.921,0.018,0.536,0.048,0.565,0.776,0.025,0.408,0.078,0.343,0.571,0.412,0.001,0.006,0.007,0.0,,,,
Belize,2022,BLZ,405285.0,,0.0,0.0,0.725,0.023,3.301,6.879,-2.766,-28.681,16.973,,,1.789,,,0.0,0.0,,,,0.0,20.573,349.823,0.0,0.012,0.051,441.582,20.51,,,,0.006,0.014,0.0,0.0,,,6.154,15.184,,,,,0.72,1.776,,,,0.0,0.002,0.017,0.0,0.0,0.001,0.014,0.0,0.0,0.0,0.055,0.003,,0.001,0.0,0.143,0.006,,0.011,0.0,0.0,0.0,0.0,,,,
Benin,2022,BEN,13352864.0,33290362880.0,0.363,0.027,8.432,0.12,1.44,11.835,-0.472,-3.833,0.886,0.356,,0.631,0.253,,0.293,0.022,,,,6.717,129.513,1298.637,2.025,0.0,1.336,1088.22,119.436,,,,0.0,0.0,0.326,0.024,,,3.403,0.255,,,,,7.451,0.558,,,,0.023,0.023,0.029,0.002,0.014,0.007,0.051,0.0,0.0,0.001,0.136,0.019,,0.0,0.004,0.079,0.063,,0.054,0.0,0.001,0.001,0.0,,,,
Bermuda,2022,BMU,64207.0,,0.0,0.0,0.445,0.004,0.922,,,,,,,6.937,,,0.0,0.0,,,,0.0,29.81,,0.04,0.0,0.0,,29.77,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.445,6.937,,,,0.0,0.001,,0.0,0.0,0.002,,0.0,0.0,0.0,,0.005,,0.0,0.0,,0.004,,0.001,,0.0,0.0,,,,,
Bhutan,2022,BTN,782457.0,,0.438,0.56,1.056,-0.007,-0.626,6.955,-0.544,-7.258,8.889,,,1.349,,,0.198,0.253,,,,6.675,21.278,1130.091,5.267,0.0,0.0,1108.812,9.336,,,,0.0,0.0,0.0,0.0,,,5.9,7.54,,,,,0.42,0.536,,,,0.027,0.003,0.017,0.001,0.014,0.001,0.044,0.001,0.0,0.0,0.138,0.002,,0.0,0.0,0.137,0.004,,0.021,0.0,0.0,0.0,0.0,,,,
Bolivia,2022,BOL,12224114.0,78165311488.0,1.533,0.125,21.494,-0.232,-1.069,28.073,-2.553,-8.335,2.297,0.359,,1.758,0.275,,0.026,0.002,,,,30.325,582.521,5904.808,0.436,49.161,170.32,7624.05,332.278,,,,0.077,0.006,7.161,0.586,,,6.579,0.538,,,,,12.697,1.039,,,,0.096,0.058,0.068,0.0,0.065,0.033,0.23,0.0,0.254,0.065,0.951,0.054,,0.019,0.092,0.153,0.107,,0.289,0.001,0.003,0.005,0.0,,,,
